internal_transfer_id,operation_type,transfer_reference,scheduled_date,effective_date,created_date,updated_date,back_order,source_document,transfer_state,source_location,destination_location,transfer_amount
4741,Receipts,WH/IN/06644,2021-05-06 23:07:49.000000,2021-04-30 05:03:44.000000,2021-04-29 01:39:19.153049,2021-04-30 05:03:44.276161,,PO05209,done,Partner Locations/Vendors,WH/Input,
4054,Receipts,WH/IN/06368,2021-03-23 02:24:32.000000,2021-03-23 23:40:07.000000,2021-03-18 02:29:20.350005,2021-03-23 23:40:07.295836,,PO05021,done,Partner Locations/Vendors,WH/Input,
4288,Pick Components,WH/PC/00809,2021-03-30 03:16:33.000000,2021-03-30 03:23:50.000000,2021-03-30 03:18:04.381215,2021-03-30 03:23:49.783002,,MO/03736,done,WH/Stock,WH/WIP,
4095,Receipts,WH/IN/06394,2021-03-19 01:37:33.000000,2021-03-19 01:38:37.000000,2021-03-19 01:38:09.508864,2021-03-19 01:38:37.089343,,PO04486,done,Partner Locations/Vendors,WH/Input,
4171,Pick Components,WH/PC/00775,2021-03-23 10:39:00.000000,,2021-03-23 10:39:20.316964,2021-03-24 00:06:38.069384,,MO/03708,cancel,WH/Stock,WH/WIP,
4186,Pick Components,WH/PC/00778,2021-03-24 00:42:47.000000,2021-03-24 03:00:40.000000,2021-03-24 00:43:18.526746,2021-03-24 03:00:39.798447,,MO/03710,done,WH/Stock,WH/WIP,
4151,Goods Inwards Inspection,WH/GI/568,2021-03-10 05:44:18.000000,2021-04-09 02:11:18.000000,2021-03-22 23:38:14.394457,2021-04-09 02:11:16.835447,WH/GI/564,PO04722,done,WH/Input,WH/Stock,
4379,Receipts,WH/IN/06499,2021-04-08 03:37:53.000000,,2021-04-08 03:07:25.758006,2021-04-09 03:51:58.131398,,PO05094,cancel,Partner Locations/Vendors,WH/Input,
4304,Pick Components,WH/PC/00816,2021-03-31 02:27:30.000000,2021-03-31 03:21:32.000000,2021-03-31 02:27:48.446490,2021-03-31 03:21:31.727676,,MO/03740,done,WH/Stock,WH/WIP,
4118,Receipts,WH/IN/06398,2021-03-08 00:31:53.000000,2021-04-01 02:07:37.000000,2021-03-21 23:14:42.465265,2021-04-01 02:07:34.918873,WH/IN/06291,PO04745,done,Partner Locations/Vendors,WH/Input,5951.0
