serial_num,bom_prod_id,bom_ref,bom_id,active,bom_line_id,product_id,product_qty,default_code
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32413.0,9707.0,1.0,1009710-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32417.0,10355.0,24.0,1010358-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32419.0,10259.0,32.0,1010012-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32420.0,9709.0,2.0,1009712-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32423.0,9710.0,3.0,1009713-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32427.0,10260.0,1.0,1010013-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32428.0,9712.0,1.0,1009715-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32429.0,10261.0,1.0,1010014-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32441.0,10264.0,2.0,1010017-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32442.0,9719.0,1.0,1009722-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32443.0,9720.0,3.0,1009723-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32444.0,9721.0,6.0,1009724-001
1009354-002,9506,NPI Rev1 - 20221108 SAS V1.0,1300,True,32167.0,9924.0,1.0,1009927-001
1007684-003,7684,PDM004 - GA,1076,True,26920.0,3162.0,1.0,1001763-002
1007684-003,7684,PDM004 - GA,1076,True,26921.0,2945.0,1.0,1005844-001
1007684-003,7684,PDM004 - GA,1076,True,26923.0,7618.0,15.0,1007618-001
1007684-003,7684,PDM004 - GA,1076,True,26924.0,8284.0,1.0,1007686-004
1007684-003,7684,PDM004 - GA,1076,True,26927.0,7726.0,1.0,1007726-001
1007684-003,7684,PDM004 - GA,1076,True,26928.0,7742.0,1.0,1007742-001
1007684-003,7684,PDM004 - GA,1076,True,26930.0,8160.0,1.0,1008160-001
1007684-003,7684,PDM004 - GA,1076,True,26931.0,3069.0,1.0,1000965-002
1007684-003,7684,PDM004 - GA,1076,True,26932.0,7692.0,1.0,1007692-001
1007684-003,7684,PDM004 - GA,1076,True,26933.0,7709.0,2.0,1007709-001
1007684-003,7684,PDM004 - GA,1076,True,26934.0,8342.0,1.0,1007849-002
1007684-003,7684,PDM004 - GA,1076,True,26935.0,3182.0,1.0,1001008-001
1007684-003,7684,PDM004 - GA,1076,True,26936.0,3500.0,1.0,1001144-001
1007684-003,7684,PDM004 - GA,1076,True,26937.0,3468.0,1.0,1001552-001
1007684-003,7684,PDM004 - GA,1076,True,26938.0,7288.0,1.0,1007288-001
1007684-003,7684,PDM004 - GA,1076,True,26939.0,8471.0,2.0,1008471-001
1007684-003,7684,PDM004 - GA,1076,True,26943.0,6066.0,1.0,1001269-001
1007684-003,7684,PDM004 - GA,1076,True,26945.0,8619.0,1.0,1007721-004
1009354-002,9506,NPI Rev1 - 20221108 SAS V1.0,1300,True,32150.0,9813.0,1.0,1009355-003
1009354-002,9506,NPI Rev1 - 20221108 SAS V1.0,1300,True,32151.0,9527.0,2.0,1009356-002
1009354-002,9506,NPI Rev1 - 20221108 SAS V1.0,1300,True,32152.0,9486.0,2.0,1009357-003
1009354-002,9506,NPI Rev1 - 20221108 SAS V1.0,1300,True,32153.0,9822.0,2.0,1009358-002
1009354-002,9506,NPI Rev1 - 20221108 SAS V1.0,1300,True,32154.0,9463.0,2.0,1009361-002
1009354-002,9506,NPI Rev1 - 20221108 SAS V1.0,1300,True,32155.0,9812.0,1.0,1009363-004
1009354-002,9506,NPI Rev1 - 20221108 SAS V1.0,1300,True,32156.0,9366.0,2.0,1009369-001
1009354-002,9506,NPI Rev1 - 20221108 SAS V1.0,1300,True,32157.0,9468.0,2.0,1009377-003
1009354-002,9506,NPI Rev1 - 20221108 SAS V1.0,1300,True,32158.0,9467.0,2.0,1009378-005
1009354-002,9506,NPI Rev1 - 20221108 SAS V1.0,1300,True,32159.0,9862.0,2.0,1009380-002
1009354-002,9506,NPI Rev1 - 20221108 SAS V1.0,1300,True,32160.0,9502.0,2.0,1009457-002
1009354-002,9506,NPI Rev1 - 20221108 SAS V1.0,1300,True,32162.0,9818.0,2.0,1009488-002
1009354-002,9506,NPI Rev1 - 20221108 SAS V1.0,1300,True,32163.0,8577.0,1.0,1004967-002
1009354-002,9506,NPI Rev1 - 20221108 SAS V1.0,1300,True,32164.0,9092.0,4.0,1009095-001
1009354-002,9506,NPI Rev1 - 20221108 SAS V1.0,1300,True,32165.0,9611.0,1.0,1009614-001
1009354-002,9506,NPI Rev1 - 20221108 SAS V1.0,1300,True,32166.0,9816.0,6.0,1009819-001
1007684-003,7684,PDM004 - GA,1076,True,26946.0,8869.0,4.0,1008872-001
